Workers,time,radius
1,13496649256,2
1,37147939146,4
1,72161562274,6
1,119638412172,8
1,192973235619,10
1,269783985384,12
1,336382221722,14
1,435576094503,16
1,545728365808,18
1,671642958713,20
2,7741975447,2
2,19159101104,4
2,37203910868,6
2,60930548247,8
2,97315390542,10
2,135843218449,12
2,167055652355,14
2,218993156342,16
2,278756897126,18
2,333909888540,20
3,5406046723,2
3,13188180564,4
3,25115948907,6
3,41126973740,8
3,66136892400,10
3,91389279970,12
3,113485300114,14
3,144613447581,16
3,181461165155,18
3,224956455438,20
4,4520176778,2
4,10111225476,4
4,18910488647,6
4,32021212277,8
4,49992946929,10
4,71129173232,12
4,84332460975,14
4,109937136386,16
4,137906206366,18
4,167080666750,20
5,3483881439,2
5,8533277189,4
5,15447324551,6
5,25453261566,8
5,40999428678,10
5,56127588549,12
5,69330403799,14
5,88247640848,16
5,109893523525,18
5,134110716388,20
6,3136419435,2
6,7408077418,4
6,13406479319,6
6,22480760602,8
6,34514598632,10
6,47049309852,12
6,57377060610,14
6,72356144878,16
6,91953805265,18
6,111413044652,20
7,2699685113,2
7,6442027587,4
7,11495274827,6
7,18640529579,8
7,29410323413,10
7,40273609541,12
7,49398553468,14
7,63430298045,16
7,80489134897,18
7,96733164512,20
8,2603728923,2
8,5942694519,4
8,10762776819,6
8,17223739389,8
8,26635249097,10
8,36317919918,12
8,45738004561,14
8,57393450742,16
8,71309154207,18
8,87675391587,20
9,2312963543,2
9,5333239557,4
9,9574267796,6
9,15949814985,8
9,24926237035,10
9,33726562288,12
9,41083713324,14
9,52155908414,16
9,64281045966,18
9,80033720334,20
10,2140773396,2
10,5095857821,4
10,9121381908,6
10,14396375792,8
10,22609720117,10
10,30482194902,12
10,37350075223,14
10,47347073603,16
10,59109851047,18
10,71011523943,20
11,2053637170,2
11,4595841790,4
11,8192343707,6
11,13394966167,8
11,20599298895,10
11,28225175930,12
11,33863651353,14
11,42322302714,16
11,53052788722,18
11,64800666948,20
12,1982313889,2
12,4389959537,4
12,7872533698,6
12,11777019521,8
12,18509806522,10
12,24446519288,12
12,30739032034,14
12,37824315590,16
12,47834176796,18
12,57579989434,20
13,1806194095,2
13,4015174085,4
13,7163717311,6
13,11177363390,8
13,17168579106,10
13,22875940759,12
13,28208736803,14
13,35517846543,16
13,44132672306,18
13,53954628317,20
14,1775928547,2
14,3818768184,4
14,6825786886,6
14,10529258819,8
14,15838208765,10
14,21773453291,12
14,26234269002,14
14,33552038983,16
14,41532685960,18
14,50583215751,20
15,1717161447,2
15,3717917986,4
15,6192906924,6
15,10056242715,8
15,14837701980,10
15,20301605577,12
15,25246987865,14
15,31305432169,16
15,39343842756,18
15,48580485891,20
16,1645309969,2
16,3468349242,4
16,6189399957,6
16,9890843168,8
16,14858540799,10
16,19896162200,12
16,24878115142,14
16,30772084970,16
16,38388629761,18
16,46650869453,20
17,1745425716,2
17,3621745826,4
17,6299840439,6
17,10329703191,8
17,15867230345,10
17,21663054642,12
17,26355495348,14
17,33464423633,16
17,42045769257,18
17,50781382308,20
18,1635488382,2
18,3563397310,4
18,6434351336,6
18,10379847616,8
18,16200559558,10
18,22020046745,12
18,27162151717,14
18,34723707592,16
18,42895422174,18
18,52113889071,20
19,1715525162,2
19,3557134487,4
19,6412207610,6
19,10208831180,8
19,15935479760,10
19,21790300508,12
19,26721618018,14
19,33166284241,16
19,42222159474,18
19,50788468554,20
20,1694043946,2
20,3730799795,4
20,6256346061,6
20,9866837324,8
20,15441559567,10
20,20731853016,12
20,25855280127,14
20,33160018072,16
20,40339577613,18
20,49035836970,20
21,1626005591,2
21,3383235897,4
21,6244880585,6
21,9742556704,8
21,15469646049,10
21,20441662232,12
21,25492849334,14
21,32051151494,16
21,39651315527,18
21,48593228114,20
22,1699482723,2
22,3537115893,4
22,5983027508,6
22,9703394406,8
22,14990482939,10
22,20424743335,12
22,25146146066,14
22,32087313244,16
22,40428276740,18
22,48416038543,20
23,1740961298,2
23,3457643419,4
23,6076164501,6
23,9742082492,8
23,14841633430,10
23,20550551227,12
23,25109547553,14
23,30830649103,16
23,38974228367,18
23,46789289123,20
24,1701233596,2
24,3411391650,4
24,6178582063,6
24,9723115284,8
24,15100792530,10
24,19762621356,12
24,25160947433,14
24,31031763287,16
24,38692291246,18
24,46418548931,20
25,1700182776,2
25,3606439401,4
25,6208359894,6
25,9699871472,8
25,14697567632,10
25,20123027055,12
25,24277773602,14
25,31201648329,16
25,39363783591,18
25,46810934615,20
26,1700182475,2
26,3427166722,4
26,6092140525,6
26,9518704672,8
26,14923298175,10
26,20019143878,12
26,24096736234,14
26,31081316545,16
26,38371718094,18
26,46325894557,20
27,1689815472,2
27,3509396876,4
27,6104699153,6
27,9465118199,8
27,14733655780,10
27,19731272705,12
27,24561675258,14
27,30297247121,16
27,38406574100,18
27,46230873729,20
28,1710025086,2
28,3471753814,4
28,6129842037,6
28,9777588814,8
28,14783003490,10
28,20092286072,12
28,24190555994,14
28,30628996546,16
28,38256146973,18
28,46086452987,20
29,1801387867,2
29,3603029140,4
29,6209373154,6
29,9464741657,8
29,14465994416,10
29,19803800641,12
29,24578929261,14
29,30840811731,16
29,37989927215,18
29,46309652632,20
30,1720737028,2
30,3558264195,4
30,6137843240,6
30,9366470569,8
30,14767620357,10
30,19297600402,12
30,24054626975,14
30,29902968162,16
30,38197026143,18
30,46095069866,20
31,1700852846,2
31,3574227520,4
31,6164160709,6
31,9335313874,8
31,14575049878,10
31,19792128426,12
31,24198230642,14
31,30105125226,16
31,37853118244,18
31,45426010042,20
32,1710392905,2
32,3571925822,4
32,6275573631,6
32,9318822068,8
32,14269550627,10
32,19892171630,12
32,24317512587,14
32,30364706802,16
32,37655983160,18
32,45968908685,20